name,Strawberries,Raspberries,Blackberries,Blueberries,Elderberries
Alabama,111,5,143,834,4
Alaska,9,17,0,0,0
Arizona,9,2,15,1,0
Arkansas,88,13,501,356,0
California,36768,6577,2177,7262,8
Colorado,33,31,17,2,1
Connecticut,208,70,20,365,3
Delaware,41,4,7,29,0
Florida,9499,16,241,7147,15
Georgia,143,12,880,18361,5
Hawaii,0,0,0,0,0
Idaho,36,98,26,65,0
Illinois,206,77,151,206,16
Indiana,254,77,175,684,8
Iowa,116,94,28,26,29
Kansas,25,20,73,31,18
Kentucky,196,40,268,349,4
Louisiana,211,0,88,418,0
Maine,316,131,17,39286,45
Maryland,210,67,79,193,7
Massachusetts,320,140,58,906,3
Michigan,870,532,152,22959,7
Minnesota,423,196,37,124,0
Mississippi,91,3,109,1924,3
Missouri,171,29,307,248,369
Montana,13,13,0,5,0
Nebraska,16,19,5,2,7
Nevada,0,0,0,0,0
New Hampshire,124,54,16,540,2
New Jersey,252,108,126,9692,5
New Mexico,9,58,53,1,0
New York,1229,589,225,1828,27
North Carolina,855,49,468,9183,27
North Dakota,4,7,0,0,0
Ohio,457,343,310,410,29
Oklahoma,28,0,344,96,13
Oregon,2234,2684,6383,12245,3
Pennsylvania,963,330,126,876,17
Rhode Island,47,10,0,58,0
South Carolina,473,14,238,855,2
South Dakota,12,8,1,3,2
Tennessee,223,72,368,485,4
Texas,126,82,765,1050,1
Utah,49,118,27,0,0
Vermont,172,81,20,326,10
Virginia,391,132,287,503,19
Washington,1218,9858,1122,12810,4
West Virginia,51,150,144,144,7
Wisconsin,862,209,68,367,19
Wyoming,2,8,1,1,1